地区,年份,年末常住人口万人,民用汽车拥有量万辆,公路客运量万人,交通事故直接财产损失总计万元,交通事故受伤人数总计人,交通事故死亡人数总计人,交通事故发生数总计起
湖北省,2016,5885,588.69,88221,8832.1,16775,4511,16908
湖南省,2016,6625,595.8,108627,6383,9094,1572,7359
广东省,2016,11908,1674.64,102094,7380.5,26825,5501,24773
广西壮族自治区,2016,4857,424.9,39750,1854,3592,2246,3842
海南省,2016,957,96.32,9920,1515,2748,636,2045
重庆市,2016,3110,327.47,55594,2147.9,6233,953,4724
四川省,2016,8251,880.8,109716,5760.5,8395,2352,7527
贵州省,2016,3758,348.7,82199,9475.1,18108,2274,12579
云南省,2016,4677,552.05,41208,2905.9,5519,3002,5375
西藏自治区,2016,340,37.48,889,290.5,349,146,308
陕西省,2016,3874,491.23,61093,3810.7,5777,1575,5914
甘肃省,2016,2520,277.25,37932,1065.4,3177,1357,2899
青海省,2016,582,88.65,4873,750.7,1124,529,1023
宁夏回族自治区,2016,695,115.34,7910,754.9,1778,372,1606
新疆维吾尔自治区,2016,2428,327.06,28993,1190.5,5988,1594,5049
北京市,2015,2188,533.81,49931,2088.4,2617,922,2637
天津市,2015,1439,273.62,14219,3925.5,5954,826,5358
河北省,2015,7345,1075.03,43563,3995.3,4319,2498,4852
山西省,2015,3519,468.97,22085,3646.8,5495,2015,5099
内蒙古自治区,2015,2440,373.61,11017,1587.2,3121,973,3215
辽宁省,2015,4338,582.5,60269,1914.2,4774,1993,5150
吉林省,2015,2613,313.74,29013,3188.1,2697,1301,2779
黑龙江省,2015,3529,351.75,32632,3824.6,3442,1151,3276
上海市,2015,2458,282.23,3766,469.6,454,869,1070
江苏省,2015,8315,1240.91,119800,6680.4,11698,4642,12999
浙江省,2015,5985,1120.58,92304,6355.4,16157,4275,16270
安徽省,2015,6011,498.7,78072,6176.4,15382,2651,13770
福建省,2015,3984,435.37,40394,2703.9,8737,1890,7943
江西省,2015,4485,338.94,53687,5120.3,3136,1439,3058
山东省,2015,9866,1510.81,46960,5276.8,13002,3652,13376
河南省,2015,9701,952.01,112535,3524.4,6129,1776,6171
湖北省,2015,5850,498.63,87953,5174.9,4638,1695,4624
湖南省,2015,6615,507.88,119266,7253.7,11615,1792,9044
广东省,2015,11678,1471.4,98050,6783.4,27754,5562,24676
广西壮族自治区,2015,4811,363.82,41522,2145.2,4009,2099,3978
海南省,2015,945,83.29,10363,1123.1,2903,629,2103
重庆市,2015,3070,278.61,57556,1844.7,6577,969,4829
四川省,2015,8196,767.13,124014,6317.4,10188,2640,8571
贵州省,2015,3708,292.61,80621,1197,1150,741,1035
云南省,2015,4663,484.23,43688,3414,5914,3036,5375
西藏自治区,2015,330,33.18,871,301.6,435,168,334
陕西省,2015,3846,438.12,61436,3741.9,5137,1615,5406
甘肃省,2015,2523,239.36,37240,1236.3,3553,1396,3063
青海省,2015,577,78.18,4596,614.2,1183,531,1036
宁夏回族自治区,2015,684,100.94,8444,803.6,1963,395,1692
新疆维吾尔自治区,2015,2385,294.47,33229,1263.4,5747,1881,4992
北京市,2014,2171,530.83,52354,3064.7,3333,851,3196
天津市,2014,1429,274.14,14530,4256.3,6171,828,5322
河北省,2014,7323,930.08,51151,4947.9,4533,2499,5009
山西省,2014,3528,424.36,27091,2952.2,5422,2080,5121
内蒙古自治区,2014,2449,342.14,13494,1491.9,3236,1006,3406
辽宁省,2014,4358,520.04,80789,2623.6,5404,2012,5650
吉林省,2014,2642,284.57,27866,3448.5,2694,1323,2794
黑龙江省,2014,3608,322.78,36379,4069.3,3600,1153,3451
上海市,2014,2467,255.03,3754,462.9,624,902,1172
江苏省,2014,8281,1095.45,137270,6328,12101,4668,13187
浙江省,2014,5890,1012.05,112915,6655.3,17219,4403,17135
安徽省,2014,5997,422.46,131403,6733.9,18199,2647,16077
福建省,2014,3945,386.6,48580,3756.2,9817,1995,8684
江西省,2014,4480,287.68,59674,4010.6,2901,1389,2873
山东省,2014,9808,1350.25,62052,4927.6,12815,3703,13570
河南省,2014,9645,969.28,128279,3360.9,6459,1642,6355
湖北省,2014,5816,422.23,87803,5072.4,5471,1772,5271
湖南省,2014,6611,434.48,150583,7012.1,11134,1794,8542
广东省,2014,11489,1331.84,157234,7200.1,30219,5491,26445
广西壮族自治区,2014,4770,316.53,46623,1694.9,3902,2154,3942
海南省,2014,936,75.11,11042,1457.1,2872,576,2058
重庆市,2014,3043,237.04,63630,1531.1,7281,970,5220
四川省,2014,8139,666.92,126691,7320.4,11026,2664,9193
贵州省,2014,3677,244.72,80231,1282.5,1412,795,1145
云南省,2014,4653,429.74,44502,3460.9,6351,3053,5725
西藏自治区,2014,325,29.47,1408,509.1,508,247,388
陕西省,2014,3827,384.88,66720,3652.4,4609,1655,5055
甘肃省,2014,2531,185.31,36224,1290.9,3569,1430,3035
青海省,2014,576,68.84,4769,884.8,1209,532,1029
宁夏回族自治区,2014,678,91.05,8311,856,2026,393,1752
新疆维吾尔自治区,2014,2325,272.21,34847,1228.3,5765,1896,5010
北京市,2013,2125,517.11,52481,2805.2,3359,860,3063
天津市,2013,1410,261.58,14556,3924.2,4920,836,4313
河北省,2013,7288,816.29,52956,3938.3,4770,2501,5204
山西省,2013,3535,378.27,28487,2889.6,5520,2133,5303
内蒙古自治区,2013,2455,306.87,16184,1607.3,3514,1096,3643
辽宁省,2013,4365,457.05,78168,2880.4,5527,2015,5777
吉林省,2013,2668,248.35,27403,3118.5,2310,1345,2458
黑龙江省,2013,3666,289.81,35102,3760.1,3294,1158,3283
上海市,2013,2448,234.91,3476,986.2,1458,914,2011
江苏省,2013,8192,944.35,135555,6764.1,12177,4679,13395
浙江省,2013,5784,901.99,121185,7522.8,18558,4860,18298
安徽省,2013,5988,358.74,119433,7375.6,20343,2669,17610
福建省,2013,3885,332.97,46895,3408.1,9501,2138,8521
江西省,2013,4476,246.84,57915,3738.2,2935,1351,2880
山东省,2013,9746,1199.71,64019,4970.6,11971,3748,12879
河南省,2013,9573,700.69,125450,3034.9,6569,1633,6449
湖北省,2013,5798,354.4,80670,4472.8,6353,1801,5798
湖南省,2013,6600,366.74,149015,6455.5,11293,1882,8699
广东省,2013,11270,1177.37,133305,8016.9,28435,5647,25424
广西壮族自治区,2013,4731,276.29,45606,1735.4,3922,2172,3821
海南省,2013,920,64.8,10583,935,2720,493,1976
重庆市,2013,3011,192.77,61243,1579.3,7883,970,5642
