城市名,县区名,年份,城乡养老保险参保万人,城乡养老保险缴费万人,城乡养老保险离退休万人,城乡养老保险缴费万元,城乡养老保险支出万元,企业养老保险参保万人,企业养老保险缴费万人,企业养老保险离退休万人,企业养老保险缴费万元,企业养老保险支出万元,机关养老保险参保人数,机关养老保险缴费人数,机关养老保险离退休人数,机关养老保险缴费万元,机关养老保险支出万元,所属省份
葫芦岛市,建昌县,2023,,11.04,11.76,,18998,5.17,3.22,1.95,,64801,,,,,,辽宁省
葫芦岛市,建昌县,2022,,12.48,10.66,2917.77,16300,5.03,3.19,1.84,,59624,,,,19510,36717,辽宁省
葫芦岛市,建昌县,2021,,,,,,,,,,,,,,,,辽宁省
葫芦岛市,建昌县,2020,,,,,,,,,,,,,,,,辽宁省
湖州市,吴兴区,2023,9.05,2.88,6.17,,40366.3,,,,,,,,,,38854.26,浙江省
湖州市,吴兴区,2022,9.3,3.2,6.1,,35509.9,,,,,,,,,,34319.6,浙江省
湖州市,吴兴区,2021,9.57,3.61,5.96,,29733.47,,,,,,,,,,31934.37,浙江省
湖州市,吴兴区,2020,9.84,3.65,6.19,,23311.18,,,,,,,,,,30286.75,浙江省
怀化市,辰溪县,2021,33.22,,,,,3.7,,,,,,,,,,湖南省
怀化市,辰溪县,2020,27.7,,,,,2.5,,,,,,,,,,湖南省
怀化市,洪江市,2021,25.9163,18.2446,7.6717,,10786,2.2663,0.9086,1.3577,,41541,9405,3904,5501,,29636,湖南省
怀化市,洪江市,2020,26.1884,,,,,3.5095,,,12466,,,,,12800,,湖南省
怀化市,新晃侗族自治县,2023,14.6411,,,2071,,1.961,,,9183,,10287,,,12804,,湖南省
怀化市,新晃侗族自治县,2022,14.4117,,,2080,,1.8512,,,8151,,10252,,,9885,,湖南省
怀化市,新晃侗族自治县,2021,14.617,,,1796.07,,2.3282,1.5908,0.7374,,,10127,,,8842.45,,湖南省
怀化市,新晃侗族自治县,2020,16.58,,,1121,,0.9607,,,21868,,6972,,,11790,,湖南省
怀化市,溆浦县,2023,54.2,,,8863,,4.44,,,25065,,16600,,,30000,,湖南省
怀化市,溆浦县,2021,31.68,,,4756,,3.05,,,8885,,16000,,,25200,,湖南省
怀化市,溆浦县,2020,54.5,,,4756,,3.05,,,8885,,16000,,,25200,,湖南省
怀化市,中方县,2020,,,,971,,,,,4653,,,,,12278,,湖南省
淮安市,金湖县,2020,7.15,,,,,7.22,,,,,7400,,,,,江苏省
淮安市,盱眙县,2022,28.72,,,,,6.13,,,,,12800,,,,,江苏省
淮安市,盱眙县,2020,16.76,,,,,9.64,,,,,12500,,,,,江苏省
淮北市,杜集区,2022,3.0777,0.0651,3.0126,1480.36,5211.3,4.27,4.2303,0.0397,1200,,5376,4757,619,12000,,安徽省
淮北市,杜集区,2021,3.08,0.09,2.99,1319.87,3504.51,3.2869,3.2569,0.03,,500,5352,3352,2000,,11000,安徽省
淮北市,杜集区,2020,6.14,3.16,2.98,,3653.25,5.58,,,,,5288,,,,,安徽省
黄冈市,红安县,2022,36.8033,26.0927,10.7106,5244.32,19065.38,6.3075,4.1343,2.1732,34505,60375,13400,4873,8527,24304.4,57093,湖北省
黄冈市,红安县,2021,36.5784,25.984,10.5944,5425.14,17039.58,6.0822,4.0171,2.0651,54835,54835,13200,4062,9138,26713.6,48682.8,湖北省
黄冈市,红安县,2020,16.6,6.5754,10.0246,4842.3,14178.42,5.8638,3.8714,1.9924,25336,49842,13400,5360,8040,27350,45890,湖北省
黄冈市,红安县,2019,35.64,25.72,9.92,3856,13642.69,3.7779,1.8826,1.8953,24199.11,48460.99,13880,5563,8317,25146,44232,湖北省
黄冈市,红安县,2016,29.0475,19.0503,9.7463,,,5.6911,,,,,11253,,,,,湖北省
黄冈市,罗田县,2013,27.21,,,,,3.27,,,,,8400,,,,,湖北省
黄冈市,罗田县,2012,26.71,,,,,3.16,,,,,6300,,,,,湖北省
黄冈市,武穴市,2015,33.99,,,,,7.43,,,,,9200,,,,,湖北省
黄冈市,英山县,2008,,,,,,2.6983,,,3376,,4435,,,1568,,湖北省
黄冈市,英山县,2007,,,,,,0.4601,,,3010,,,,,2264,,湖北省
黄冈市,英山县,2006,,,,,,,,0.336,,2109,,,658,,840,湖北省
黄冈市,英山县,2005,,,,,,0.314,,,,1722,,,430,,570,湖北省
黄山市,祁门县,2020,6.7413,3.8599,2.8814,2000.3,4088.5,1.5492,0.6907,0.8585,8955,25589.5,7109,4399,2710,9017,14306,安徽省
黄山市,黟县,2022,,2.57,1.78,,3210.64,1.64,,,,,,,,,,安徽省
黄山市,黟县,2021,,,1.68,,2738.32,1.64,1.12,0.52,,,4666,2844,1822,,,安徽省
黄山市,黟县,2020,,2.9,,,2507.6,1.5341,1.0431,0.491,,12987,,,1798,,9126,安徽省
吉安市,吉安县,2023,25.7381,,,,,17.7581,,,49839,,14410,,,16404,,江西省
吉安市,吉安县,2022,25.9391,,,7501,13479,15.4222,13.6396,1.7826,57156,47967,13864,9541,4323,16763,26248,江西省
吉安市,吉安县,2021,23.7456,17.5296,6.216,7718,11563,12.8918,11.1857,1.7061,46130,44657,13721,9460,4261,19308,24344,江西省
吉安市,吉安县,2020,,,,,,12.2214,10.4437,1.7777,41507,43113,12642,8628,4014,17020,21422,江西省
吉安市,峡江县,2023,7.8295,4.8213,2.4578,1428.7,5234.89,3.4818,2.4276,1.004,15376.6,25366,7318,4958,2334,9844.48,12703,江西省
吉安市,峡江县,2022,7.8201,4.7041,2.3255,3861.14,4848.58,3.3319,2.3513,0.9806,15764,24537,7127,4859,2268,7799.5,13076,江西省
吉安市,峡江县,2020,7.9067,,,,,2.7193,,,,,6633,,,,,江西省
吉林市,舒兰市,2022,27.7497,18.2649,9.4848,,,9.9443,4.8855,5.0588,,146300,,,,,46000,吉林省
吉林市,舒兰市,2021,27.7419,18.6213,9.1206,,13079,9.6612,4.6522,5.009,,128529,,,,,44881,吉林省
济南市,平阴县,2023,22.08,,,4941.6,20513.86,6.79,5.0058,1.7842,73306,67700,16000,,,22270,42312,山东省
济南市,平阴县,2022,22.2,,,4378,18237,7.43,5.7783,1.6517,68074,64987,15500,,,20978,39261,山东省
济南市,平阴县,2021,22.15,,,3754,16473,7.14,5.584,1.556,64399,59572,15000,,,19070,36804,山东省
济南市,平阴县,2020,24.08,,,4239,13395,6.51,5.0494,1.4606,32566,52088,15000,,,18854,34309,山东省
济南市,商河县,2023,30.56,,,,,5.83,,,,,18200,,,,,山东省
济南市,章丘区,2022,,,,,,21.9,18.467,3.433,,11700,,,,,79000,山东省
济宁市,​曲阜市,2012,,,,,,10.29,,,,,,,,,,山东省
济宁市,任城区,2023,31.6619,,,,,20.0149,,,,,19300,,,,,山东省
济宁市,任城区,2022,32.8,,,,,19.5797,,,,,19299,,,,,山东省
济宁市,任城区,2021,34.3607,,,,,18.2434,,,,,19299,,,,,山东省
济宁市,任城区,2020,34.3609,,,,,11.6701,,,,,19110,,,,,山东省
济宁市,泗水县,2023,,,,,,,,,,,,,,,,山东省
济宁市,泗水县,2022,,,,,,,,,,,,,,,,山东省
济宁市,泗水县,2021,,,,,,,,,,,,,,,,山东省
济宁市,微山县,2022,39.43,26.64,12.79,,26600,5.1512,3.6799,1.4713,,53500,,,6570,,43800,山东省
济宁市,汶上县,2023,48.6896,,,18336,36680,6.606,,,66338,61827,14853,,,30688,58791,山东省
济宁市,汶上县,2022,49.5,,,16327,33053.4,6.3821,,,63942,59189.7,14919,,,26770,52788.9,山东省
济宁市,汶上县,2020,49.9032,,,19747,25191,4.3601,,,36033,47178,14625,,,25202,45971,山东省
济宁市,汶上县,2018,49.8069,,,30042.73,22156.18,4.1129,,,39077,36537,13902,,,22266,39005,山东省
济宁市,汶上县,2017,49.7679,,,27939.91,18858.74,4.0351,,,32638,32217,14000,,,18900,32377,山东省
济宁市,兖州区,2022,25.3,,,,,12.8,9.5,3.3,,127000,15000,,,,,山东省
济宁市,兖州区,2021,25.9,,,,,12.4,9.3,3.1,,165000,15000,,,,,山东省
济宁市,兖州区,2020,25.9,,,,,10.2,7.2,3,,106000,15000,,,,,山东省
济宁市,邹城市,2022,57.46,,,,40900,15.7,,,,99000,34000,,,,76200,山东省
佳木斯市,桦川县,2023,,1.3307,,,,1.7016,0.7562,0.9454,,29878.28,,,4067,,,黑龙江省
晋城市,陵川县,2017,13.3902,,,1538.9,,1.3688,,,7124,,8472,5666,2806,9355,13039,山西省
晋城市,陵川县,2016,13.3902,,,1553.4,,1.2206,,,4798,,8420,5762,2658,13868,12306,山西省
晋城市,陵川县,2015,13.3902,,,1200,,1.9864,,,16715,,7976,5475,2501,12066,12940,山西省
晋城市,陵川县,2014,13.5273,,,1227.3,,1.131,0.7605,0.3705,4286,,8008,5697,2311,7400,7969,山西省
晋城市,陵川县,2013,14.1169,,,1433,,1.0912,,,5315,,8134,5925,2209,9212,9182,山西省
晋城市,陵川县,2012,12.656,,,1317.81,,1.0427,0.7215,0.3212,4805,,7902,5812,2090,8060,7578,山西省
晋城市,陵川县,2011,10.314,,,902,,0.9856,,,4192,,7942,5960,1982,6682,6166.7,山西省
晋城市,沁水县,2023,12.1383,,,1363,,3.5212,,,32870,,11239,,,13206,,山西省
晋城市,沁水县,2022,12.1233,,,2230,,2.86,,,24959,,6772,,,10983,,山西省
晋城市,阳城县,2022,20.856,,,,,5.8169,,,,,16115,,,,,山西省
荆州市,公安县,2016,,,,,,13.19,,,,,,,,,,湖北省
景德镇市,浮梁县,2023,13.76,9.74,4.02,,,6.1025,4.767,1.3355,,,8161,5716,2445,,,江西省
九江市,德安县,2022,7.5793,,,,,,,,,,7100,,,,,江西省
九江市,德安县,2021,7.6338,,,,,,,,,,6900,,,,,江西省
九江市,德安县,2020,7.6422,,,,,,,,,,6900,,,,,江西省
九江市,共青城市,2021,4,,,,,,2.89,,,,,3048,,,,江西省
九江市,湖口县,2023,12.41,,,,,7.62,,,,,9100,,,,,江西省
九江市,湖口县,2022,12.36,,,,,6.66,,,,,8900,,,,,江西省
九江市,湖口县,2021,13.4136,,,,,5.8552,,,,,8870,,,,,江西省
九江市,湖口县,2020,13.6531,,,,,4.6034,,,,,5759,,,,,江西省
九江市,彭泽县,2022,15.81,,,,,6.07,,,,,10500,,,,,江西省
九江市,彭泽县,2021,19.7552,,,,,5.7143,4.0194,1.6949,,,10609,6670,3939,,,江西省
九江市,彭泽县,2020,19.8938,,,,,4.7881,3.199,1.5891,,,9800,6090,3710,,,江西省
九江市,武宁县,2022,,,,3462.11,11486.46,,,,20341.43,35198.94,,,,10514.66,25406.36,江西省
九江市,武宁县,2021,,,,4104.22,9153.99,,,,17317.26,30057.55,,,,9872.45,21975.59,江西省
九江市,武宁县,2020,,,,,7655.83,,,,13388.97,,,,,10568.89,,江西省
